"";"lemma";"ministre";"spec";"n"
"7803";"requis";"Barbara Pompili";0,5083;2
"7804";"résigner";"Barbara Pompili";0,5083;2
"7805";"révolu";"Barbara Pompili";0,5083;2
"7806";"river";"Barbara Pompili";0,5083;2
"7807";"rousseau";"Barbara Pompili";0,5083;2
"7808";"rugby";"Barbara Pompili";0,5083;2
"7809";"russe";"Barbara Pompili";0,5083;2
"7810";"sévère";"Barbara Pompili";0,5083;2
"7811";"sexiste";"Barbara Pompili";0,5083;2
"7812";"sidérurgique";"Barbara Pompili";0,5083;2
"7813";"singe";"Barbara Pompili";0,5083;2
"7814";"sirène";"Barbara Pompili";0,5083;2
"7815";"sommeil";"Barbara Pompili";0,5083;2
"7816";"sourire";"Barbara Pompili";0,5083;2
"7817";"souscription";"Barbara Pompili";0,5083;2
"7818";"soutènement";"Barbara Pompili";0,5083;2
"7819";"stagiaire";"Barbara Pompili";0,5083;2
"7820";"stop";"Barbara Pompili";0,5083;2
"7821";"studio";"Barbara Pompili";0,5083;2
"7822";"sursis";"Barbara Pompili";0,5083;2
"7823";"tailler";"Barbara Pompili";0,5083;2
"7824";"terrer";"Barbara Pompili";0,5083;2
"7825";"thermomètre";"Barbara Pompili";0,5083;2
"7826";"tondeur";"Barbara Pompili";0,5083;2
"7827";"training";"Barbara Pompili";0,5083;2
"7828";"trimestriel";"Barbara Pompili";0,5083;2
"7829";"typologie";"Barbara Pompili";0,5083;2
"7830";"variation";"Barbara Pompili";0,5083;2
"7831";"venise";"Barbara Pompili";0,5083;2
"7832";"vieillir";"Barbara Pompili";0,5083;2
"7833";"virginie";"Barbara Pompili";0,5083;2
"7834";"volcanologique";"Barbara Pompili";0,5083;2
"7835";"penser";"Nicolas Hulot";0,5074;46
"7836";"double";"Nicolas Hulot";0,5061;17
"7837";"séance";"Nicolas Hulot";0,5061;17
"7838";"intense";"Élisabeth Borne";0,5057;11
"7839";"achever";"Élisabeth Borne";0,5055;7
"7840";"claude";"Élisabeth Borne";0,5055;7
"7841";"congestion";"Élisabeth Borne";0,5055;7
"7842";"destruction";"Élisabeth Borne";0,5055;7
"7843";"directoire";"Élisabeth Borne";0,5055;7
"7844";"doux";"Élisabeth Borne";0,5055;7
"7845";"maladie";"Élisabeth Borne";0,5055;7
"7846";"retenue";"Élisabeth Borne";0,5055;7
"7847";"réutiliser";"Élisabeth Borne";0,5055;7
"7848";"supposer";"Élisabeth Borne";0,5055;7
"7849";"barrage";"Nicolas Hulot";0,5053;10
"7850";"compatible";"Nicolas Hulot";0,5053;10
"7851";"créateur";"Nicolas Hulot";0,5053;10
"7852";"varié";"Nicolas Hulot";0,5053;10
"7853";"avancé";"Barbara Pompili";0,5052;28
"7854";"apport";"Nicolas Hulot";0,5043;4
"7855";"certifier";"Nicolas Hulot";0,5043;4
"7856";"ciment";"Nicolas Hulot";0,5043;4
"7857";"collaborer";"Nicolas Hulot";0,5043;4
"7858";"essai";"Nicolas Hulot";0,5043;4
"7859";"kit";"Nicolas Hulot";0,5043;4
"7860";"land";"Nicolas Hulot";0,5043;4
"7861";"paysagiste";"Nicolas Hulot";0,5043;4
"7862";"roche";"Nicolas Hulot";0,5043;4
"7863";"souscrire";"Nicolas Hulot";0,5043;4
"7864";"diminution";"Barbara Pompili";0,5041;16
"7865";"équivalent";"Barbara Pompili";0,5041;16
"7866";"instruction";"Barbara Pompili";0,5041;16
"7867";"aboutissement";"Nicolas Hulot";0,5041;3
"7868";"agglo";"Nicolas Hulot";0,5041;3
"7869";"balancer";"Nicolas Hulot";0,5041;3
"7870";"budgétisation";"Nicolas Hulot";0,5041;3
"7871";"continental";"Nicolas Hulot";0,5041;3
"7872";"cri";"Nicolas Hulot";0,5041;3
"7873";"denrée";"Nicolas Hulot";0,5041;3
"7874";"digue";"Nicolas Hulot";0,5041;3
"7875";"douanier";"Nicolas Hulot";0,5041;3
"7876";"envie";"Nicolas Hulot";0,5041;3
"7877";"motorisation";"Nicolas Hulot";0,5041;3
"7878";"négocier";"Nicolas Hulot";0,5041;3
"7879";"nuire";"Nicolas Hulot";0,5041;3
"7880";"prédation";"Nicolas Hulot";0,5041;3
"7881";"ravir";"Nicolas Hulot";0,5041;3
"7882";"ravitaillement";"Nicolas Hulot";0,5041;3
"7883";"rose";"Nicolas Hulot";0,5041;3
"7884";"soutenable";"Nicolas Hulot";0,5041;3
"7885";"stimulant";"Nicolas Hulot";0,5041;3
"7886";"toxique";"Nicolas Hulot";0,5041;3
"7887";"valable";"Nicolas Hulot";0,5041;3
"7888";"vertébral";"Nicolas Hulot";0,5041;3
"7889";"visionnaire";"Nicolas Hulot";0,5041;3
"7890";"distribuer";"Élisabeth Borne";0,5038;9
"7891";"entrepreneur";"Élisabeth Borne";0,5038;9
"7892";"veille";"Élisabeth Borne";0,5038;9
"7893";"présent";"Élisabeth Borne";0,5035;46
"7894";"salon";"Élisabeth Borne";0,5034;36
"7895";"producteur";"François de Rugy";0,5029;22
"7896";"participer";"Élisabeth Borne";0,502;88
"7897";"prenant";"Nicolas Hulot";0,5016;50
"7898";"hall";"Élisabeth Borne";0,5012;16
"7899";"territorial";"François de Rugy";0,5004;127
"7900";"vocation";"Barbara Pompili";0,5003;68
"7901";"relatif";"Barbara Pompili";0,4999;113
"7902";"préciser";"Nicolas Hulot";0,4994;45
"7903";"abordable";"Nicolas Hulot";0,4979;13
"7904";"affecter";"Nicolas Hulot";0,4979;13
"7905";"corallien";"Nicolas Hulot";0,4979;13
"7906";"commercial";"Barbara Pompili";0,4977;71
"7907";"corallien";"Barbara Pompili";0,4975;21
"7908";"arrondissement";"François de Rugy";0,497;4
"7909";"banc";"François de Rugy";0,497;4
"7910";"calanque";"François de Rugy";0,497;4
"7911";"chronique";"François de Rugy";0,497;4
"7912";"consulaire";"François de Rugy";0,497;4
"7913";"dotation";"François de Rugy";0,497;4
"7914";"formaliser";"François de Rugy";0,497;4
"7915";"genre";"François de Rugy";0,497;4
"7916";"inscription";"François de Rugy";0,497;4
"7917";"itinérant";"François de Rugy";0,497;4
"7918";"périr";"François de Rugy";0,497;4
"7919";"préconiser";"François de Rugy";0,497;4
"7920";"ressentir";"François de Rugy";0,497;4
"7921";"restreindre";"François de Rugy";0,497;4
"7922";"spectacle";"François de Rugy";0,497;4
"7923";"survie";"François de Rugy";0,497;4
"7924";"domaine";"François de Rugy";0,4966;66
"7925";"sanction";"Barbara Pompili";0,4957;14
"7926";"fondation";"Nicolas Hulot";0,4957;19
"7927";"concentrer";"Élisabeth Borne";0,495;14
"7928";"limite";"Élisabeth Borne";0,4944;22
"7929";"métropolitain";"François de Rugy";0,4943;23
"7930";"ajuster";"Élisabeth Borne";0,4936;4
"7931";"aléa";"Élisabeth Borne";0,4936;4
"7932";"chronique";"Élisabeth Borne";0,4936;4
"7933";"démultiplier";"Élisabeth Borne";0,4936;4
"7934";"dialoguer";"Élisabeth Borne";0,4936;4
"7935";"percevoir";"Élisabeth Borne";0,4936;4
"7936";"recourir";"Élisabeth Borne";0,4936;4
"7937";"spécialiste";"Élisabeth Borne";0,4936;4
"7938";"spectacle";"Élisabeth Borne";0,4936;4
"7939";"survie";"Élisabeth Borne";0,4936;4
"7940";"unifier";"Élisabeth Borne";0,4936;4
"7941";"initiative";"François de Rugy";0,4927;63
"7942";"visite";"Nicolas Hulot";0,4926;240
"7943";"renforcer";"Barbara Pompili";0,4924;304
"7944";"partie";"François de Rugy";0,4911;117
"7945";"gouvernement";"François de Rugy";0,4907;391
"7946";"compensation";"François de Rugy";0,4899;10
"7947";"ministère";"Barbara Pompili";0,4898;538
"7948";"type";"Barbara Pompili";0,4898;58
"7949";"base";"Barbara Pompili";0,4897;100
"7950";"collaboration";"Barbara Pompili";0,4895;34
"7951";"déterminant";"Élisabeth Borne";0,4893;12
"7952";"intégrer";"Nicolas Hulot";0,4892;53
"7953";"prévenir";"François de Rugy";0,489;15
"7954";"humain";"Nicolas Hulot";0,4882;34
"7955";"adaptation";"Barbara Pompili";0,488;19
"7956";"conversion";"Barbara Pompili";0,488;50
"7957";"document";"Barbara Pompili";0,4876;42
"7958";"disparaître";"Barbara Pompili";0,4874;12
"7959";"fait";"Barbara Pompili";0,4874;12
"7960";"élaborer";"Nicolas Hulot";0,4872;21
"7961";"dynamisme";"Nicolas Hulot";0,4867;12
"7962";"chantier";"Barbara Pompili";0,4863;138
"7963";"appui";"François de Rugy";0,4861;8
"7964";"bataille";"François de Rugy";0,4861;8
"7965";"composition";"François de Rugy";0,4861;6
"7966";"continu";"François de Rugy";0,4861;6
"7967";"facilité";"François de Rugy";0,4861;6
"7968";"figurer";"François de Rugy";0,4861;6
"7969";"intègre";"François de Rugy";0,4861;6
"7970";"liberté";"François de Rugy";0,4861;6
"7971";"pétrole";"François de Rugy";0,4861;6
"7972";"soulever";"François de Rugy";0,4861;6
"7973";"spatial";"François de Rugy";0,4861;6
"7974";"tissu";"François de Rugy";0,4861;8
"7975";"constat";"Élisabeth Borne";0,4857;23
"7976";"maîtrise";"François de Rugy";0,4857;21
"7977";"tenir";"Élisabeth Borne";0,4854;129
"7978";"élargir";"Nicolas Hulot";0,4852;18
"7979";"garder";"Nicolas Hulot";0,4852;18
"7980";"pacte";"François de Rugy";0,4848;53
"7981";"juridique";"Nicolas Hulot";0,4846;15
"7982";"prolongement";"Nicolas Hulot";0,4846;15
"7983";"confort";"Élisabeth Borne";0,4844;10
"7984";"échéant";"Élisabeth Borne";0,4844;10
"7985";"modalité";"Barbara Pompili";0,4843;64
"7986";"évoluer";"Nicolas Hulot";0,4841;26
"7987";"gestionnaire";"Barbara Pompili";0,4832;45
"7988";"prévenir";"Élisabeth Borne";0,4822;15
"7989";"interne";"Élisabeth Borne";0,482;6
"7990";"liberté";"Élisabeth Borne";0,482;6
"7991";"maillon";"Élisabeth Borne";0,482;6
"7992";"plaisir";"Élisabeth Borne";0,482;6
"7993";"infrastructure";"Nicolas Hulot";0,4819;72
"7994";"bataille";"Élisabeth Borne";0,4813;8
"7995";"compte";"Barbara Pompili";0,481;243
"7996";"expérimentation";"François de Rugy";0,4809;28
"7997";"bordeaux";"Élisabeth Borne";0,4807;40
"7998";"diagnostic";"Nicolas Hulot";0,4802;23
"7999";"bourgogne";"Barbara Pompili";0,48;32
"8000";"chemin";"Élisabeth Borne";0,4798;30
"8001";"figurer";"Barbara Pompili";0,4796;10
"8002";"liberté";"Barbara Pompili";0,4796;10
"8003";"plaisir";"Barbara Pompili";0,4796;10
"8004";"prolongé";"Barbara Pompili";0,4796;10
"8005";"prouver";"Barbara Pompili";0,4796;10
"8006";"refuge";"Barbara Pompili";0,4796;10
"8007";"spatial";"Barbara Pompili";0,4796;10
"8008";"calendrier";"Barbara Pompili";0,4793;48
"8009";"véritable";"Barbara Pompili";0,4793;48
"8010";"culture";"Nicolas Hulot";0,4793;33
"8011";"fondamental";"Élisabeth Borne";0,4789;18
"8012";"phénomène";"François de Rugy";0,4788;25
"8013";"traitement";"Nicolas Hulot";0,4788;28
"8014";"constat";"Barbara Pompili";0,4785;40
"8015";"réaffirmer";"Barbara Pompili";0,4785;40
"8016";"privé";"Élisabeth Borne";0,4784;71
"8017";"marcher";"Barbara Pompili";0,4783;17
"8018";"pré";"François de Rugy";0,4779;16
"8019";"progrès";"Élisabeth Borne";0,4776;21
"8020";"porter";"Nicolas Hulot";0,4774;128
"8021";"méthode";"François de Rugy";0,4773;32
"8022";"adapter";"François de Rugy";0,4767;81
"8023";"allocution";"Nicolas Hulot";0,4751;11
"8024";"équiper";"Barbara Pompili";0,4741;35
"8025";"récent";"Barbara Pompili";0,4741;35
"8026";"soir";"François de Rugy";0,474;11
"8027";"somme";"François de Rugy";0,474;11
"8028";"trier";"François de Rugy";0,474;11
"8029";"versement";"François de Rugy";0,474;11
"8030";"porteur";"Barbara Pompili";0,473;54
"8031";"moyen";"Élisabeth Borne";0,4727;135
"8032";"alarmant";"François de Rugy";0,4727;3
"8033";"apprenti";"François de Rugy";0,4727;3
"8034";"aspirer";"François de Rugy";0,4727;3
"8035";"bouger";"François de Rugy";0,4727;3
"8036";"cabine";"François de Rugy";0,4727;3
"8037";"cola";"François de Rugy";0,4727;3
"8038";"délibération";"François de Rugy";0,4727;3
"8039";"éducation";"François de Rugy";0,4727;3
"8040";"élaboration";"François de Rugy";0,4727;3
"8041";"exhaustif";"François de Rugy";0,4727;3
"8042";"illicite";"François de Rugy";0,4727;3
"8043";"investigation";"François de Rugy";0,4727;3
"8044";"notification";"François de Rugy";0,4727;3
"8045";"portage";"François de Rugy";0,4727;3
"8046";"revalorisation";"François de Rugy";0,4727;3
"8047";"transférer";"François de Rugy";0,4727;3
"8048";"volontarisme";"François de Rugy";0,4727;3
"8049";"battre";"Barbara Pompili";0,4726;8
"8050";"captif";"Barbara Pompili";0,4726;8
"8051";"fer";"Barbara Pompili";0,4726;8
"8052";"fréquenter";"Barbara Pompili";0,4726;8
"8053";"ingénierie";"Barbara Pompili";0,4726;8
"8054";"mentionner";"Barbara Pompili";0,4726;8
"8055";"réinventer";"Barbara Pompili";0,4726;8
"8056";"vérification";"Barbara Pompili";0,4726;8
"8057";"liste";"François de Rugy";0,4717;33
"8058";"processus";"François de Rugy";0,4717;33
"8059";"partie";"Élisabeth Borne";0,4715;117
"8060";"association";"Élisabeth Borne";0,4713;108
"8061";"cabotage";"Nicolas Hulot";0,4713;7
"8062";"durabilité";"Nicolas Hulot";0,4713;7
"8063";"flotter";"Nicolas Hulot";0,4713;7
"8064";"handicap";"Nicolas Hulot";0,4713;7
"8065";"instant";"Nicolas Hulot";0,4713;7
"8066";"rep";"Nicolas Hulot";0,4713;7
"8067";"structurer";"Élisabeth Borne";0,4709;16
"8068";"préciser";"Élisabeth Borne";0,4706;42
"8069";"apaiser";"Barbara Pompili";0,4701;4
"8070";"bordelais";"Barbara Pompili";0,4701;4
"8071";"caractérisation";"Barbara Pompili";0,4701;4
"8072";"certitude";"Barbara Pompili";0,4701;4
"8073";"chalet";"Barbara Pompili";0,4701;4
"8074";"chargement";"Barbara Pompili";0,4701;4
"8075";"cheminement";"Barbara Pompili";0,4701;4
"8076";"conférer";"Barbara Pompili";0,4701;4
"8077";"cyclone";"Barbara Pompili";0,4701;4
"8078";"dépit";"Barbara Pompili";0,4701;4
"8079";"échantillon";"Barbara Pompili";0,4701;4
"8080";"éloigné";"Barbara Pompili";0,4701;4
"8081";"explication";"Barbara Pompili";0,4701;4
"8082";"externe";"Barbara Pompili";0,4701;4
"8083";"grec";"Barbara Pompili";0,4701;4
"8084";"hameau";"Barbara Pompili";0,4701;4
"8085";"infographie";"Barbara Pompili";0,4701;4
"8086";"majoritaire";"Barbara Pompili";0,4701;4
"8087";"more";"Barbara Pompili";0,4701;4
"8088";"occasionnel";"Barbara Pompili";0,4701;4
"8089";"parcelle";"Barbara Pompili";0,4701;4
"8090";"pourtour";"Barbara Pompili";0,4701;4
"8091";"remarquer";"Barbara Pompili";0,4701;4
"8092";"renaud";"Barbara Pompili";0,4701;4
"8093";"rouvrir";"Barbara Pompili";0,4701;4
"8094";"tolérer";"Barbara Pompili";0,4701;4
"8095";"volant";"Barbara Pompili";0,4701;4
"8096";"quai";"Nicolas Hulot";0,4701;22
"8097";"alarmant";"Élisabeth Borne";0,4699;3
"8098";"aspirer";"Élisabeth Borne";0,4699;3
"8099";"centimètre";"Élisabeth Borne";0,4699;3
"8100";"élaboration";"Élisabeth Borne";0,4699;3
"8101";"fonctionnel";"Élisabeth Borne";0,4699;3
"8102";"gobelet";"Élisabeth Borne";0,4699;3
"8103";"manger";"Élisabeth Borne";0,4699;3
"8104";"modélisation";"Élisabeth Borne";0,4699;3
"8105";"motiver";"Élisabeth Borne";0,4699;3
"8106";"néfaste";"Élisabeth Borne";0,4699;3
"8107";"océanique";"Élisabeth Borne";0,4699;3
"8108";"planning";"Élisabeth Borne";0,4699;3
"8109";"ramasser";"Élisabeth Borne";0,4699;3
"8110";"renfort";"Élisabeth Borne";0,4699;3
"8111";"salaire";"Élisabeth Borne";0,4699;3
"8112";"sélectif";"Élisabeth Borne";0,4699;3
"8113";"tragique";"Élisabeth Borne";0,4699;3
"8114";"tribune";"Élisabeth Borne";0,4699;3
"8115";"volontarisme";"Élisabeth Borne";0,4699;3
"8116";"conduire";"François de Rugy";0,4698;57
"8117";"classe";"François de Rugy";0,4692;14
"8118";"modifier";"François de Rugy";0,4692;14
"8119";"prolongement";"François de Rugy";0,4692;14
"8120";"remplacement";"François de Rugy";0,4692;14
"8121";"rôle";"Élisabeth Borne";0,4688;74
"8122";"terme";"François de Rugy";0,4684;108
"8123";"décisif";"Barbara Pompili";0,4682;15
"8124";"réglementation";"Barbara Pompili";0,468;60
"8125";"accumuler";"Barbara Pompili";0,4679;6
"8126";"communautaire";"Barbara Pompili";0,4679;6
"8127";"consacré";"Barbara Pompili";0,4679;6
"8128";"consécutif";"Barbara Pompili";0,4679;6
"8129";"découler";"Barbara Pompili";0,4679;6
"8130";"espérer";"Barbara Pompili";0,4679;6
"8131";"indépendance";"Barbara Pompili";0,4679;6
"8132";"livre";"Barbara Pompili";0,4679;6
"8133";"profil";"Barbara Pompili";0,4679;6
"8134";"redoubler";"Barbara Pompili";0,4679;6
"8135";"réhabiliter";"Barbara Pompili";0,4679;6
"8136";"royal";"Barbara Pompili";0,4679;6
"8137";"souscrire";"Barbara Pompili";0,4679;6
"8138";"thomas";"Barbara Pompili";0,4679;6
"8139";"libre";"François de Rugy";0,4678;17
"8140";"agricole";"Nicolas Hulot";0,4676;72
"8141";"actif";"Élisabeth Borne";0,4674;32
"8142";"expérimentation";"Barbara Pompili";0,4672;49
"8143";"participer";"Nicolas Hulot";0,4668;93
"8144";"nature";"Élisabeth Borne";0,4666;110
"8145";"fondamental";"Nicolas Hulot";0,4663;19
"8146";"dresser";"Barbara Pompili";0,466;20
"8147";"outil";"Barbara Pompili";0,465;171
"8148";"calendrier";"Nicolas Hulot";0,465;29
"8149";"crédit";"Nicolas Hulot";0,465;29
"8150";"véritable";"Nicolas Hulot";0,465;29
"8151";"avenir";"Nicolas Hulot";0,4634;16
"8152";"citer";"Nicolas Hulot";0,4634;16
"8153";"gagner";"Nicolas Hulot";0,4631;10
"8154";"tête";"Nicolas Hulot";0,4631;10
"8155";"rappeler";"Élisabeth Borne";0,4629;107
"8156";"agriculteur";"François de Rugy";0,4627;31
"8157";"ours";"Élisabeth Borne";0,4621;9
"8158";"contenu";"François de Rugy";0,4618;7
"8159";"esprit";"Nicolas Hulot";0,4618;13
"8160";"inauguration";"Nicolas Hulot";0,4618;13
"8161";"changement";"Nicolas Hulot";0,4608;159
"8162";"emploi";"François de Rugy";0,4606;47
"8163";"bruit";"François de Rugy";0,4605;12
"8164";"défendre";"François de Rugy";0,4605;12
"8165";"ménager";"François de Rugy";0,4605;12
"8166";"payer";"François de Rugy";0,4605;12
"8167";"cross";"François de Rugy";0,4603;5
"8168";"event";"François de Rugy";0,4603;5
"8169";"implication";"François de Rugy";0,4603;5
"8170";"qualification";"François de Rugy";0,4603;5
"8171";"résolution";"François de Rugy";0,4603;5
"8172";"concevoir";"Barbara Pompili";0,4596;36
"8173";"témoigner";"Barbara Pompili";0,4596;36
"8174";"histoire";"Nicolas Hulot";0,4592;6
"8175";"mobilisable";"Nicolas Hulot";0,4592;6
"8176";"puissant";"Nicolas Hulot";0,4592;6
"8177";"restitution";"Nicolas Hulot";0,4592;6
"8178";"avenir";"François de Rugy";0,4585;15
"8179";"maintenir";"Barbara Pompili";0,4576;61
"8180";"emporter";"Élisabeth Borne";0,4574;7
"8181";"optimiser";"Élisabeth Borne";0,4574;7
"8182";"viabilité";"Élisabeth Borne";0,4574;7
"8183";"coalition";"Barbara Pompili";0,4568;23
"8184";"prévoir";"Élisabeth Borne";0,4568;158
"8185";"abeille";"Élisabeth Borne";0,4567;5
"8186";"aggraver";"Élisabeth Borne";0,4567;5
"8187";"chapelle";"Élisabeth Borne";0,4567;5
"8188";"convoquer";"Élisabeth Borne";0,4567;5
"8189";"girond";"Élisabeth Borne";0,4567;5
"8190";"pérennité";"Élisabeth Borne";0,4567;5
"8191";"hausse";"François de Rugy";0,4563;36
"8192";"démarche";"Nicolas Hulot";0,4563;128
"8193";"réglementation";"Élisabeth Borne";0,4562;34
"8194";"majorité";"Barbara Pompili";0,4556;39
"8195";"organisme";"Nicolas Hulot";0,4556;28
"8196";"prolonger";"Nicolas Hulot";0,4555;18
"8197";"formidable";"Barbara Pompili";0,4552;18
"8198";"durable";"Nicolas Hulot";0,4551;248
"8199";"défendre";"Élisabeth Borne";0,4546;12
"8200";"voir";"Élisabeth Borne";0,4544;125
"8201";"scolaire";"Nicolas Hulot";0,4527;46
"8202";"partager";"Élisabeth Borne";0,4526;93
"8203";"sensibiliser";"Barbara Pompili";0,4521;42
"8204";"bénéfice";"Nicolas Hulot";0,452;30
"8205";"prononcer";"Nicolas Hulot";0,452;30
"8206";"victime";"Élisabeth Borne";0,4519;15
"8207";"cohérent";"Nicolas Hulot";0,4519;15
"8208";"conforter";"Nicolas Hulot";0,4519;15
"8209";"itinéraire";"Nicolas Hulot";0,4519;15
"8210";"nourrir";"Nicolas Hulot";0,4519;15
"8211";"enjeu";"Barbara Pompili";0,4517;283
"8212";"aérien";"Nicolas Hulot";0,4517;78
"8213";"gestion";"Nicolas Hulot";0,4511;141
"8214";"concilier";"Nicolas Hulot";0,4505;9
"8215";"terme";"Élisabeth Borne";0,4501;108
"8216";"limitation";"Nicolas Hulot";0,4497;12
"8217";"multiplier";"Nicolas Hulot";0,4497;12
"8218";"restriction";"Nicolas Hulot";0,4497;12
"8219";"valider";"Nicolas Hulot";0,4497;12
"8220";"emploi";"Nicolas Hulot";0,4496;50
"8221";"sport";"Nicolas Hulot";0,4493;20
"8222";"absence";"François de Rugy";0,448;2
"8223";"accroissement";"François de Rugy";0,448;2
"8224";"ballon";"François de Rugy";0,448;2
"8225";"céréale";"François de Rugy";0,448;2
"8226";"chaussure";"François de Rugy";0,448;2
"8227";"confortable";"François de Rugy";0,448;2
"8228";"courageux";"François de Rugy";0,448;2
"8229";"décentraliser";"François de Rugy";0,448;2
"8230";"déneigement";"François de Rugy";0,448;2
"8231";"documentaire";"François de Rugy";0,448;2
"8232";"doigt";"François de Rugy";0,448;2
"8233";"excellence";"François de Rugy";0,448;2
"8234";"extraire";"François de Rugy";0,448;2
"8235";"faisable";"François de Rugy";0,448;2
"8236";"indéniable";"François de Rugy";0,448;2
"8237";"influencer";"François de Rugy";0,448;2
"8238";"intéressé";"François de Rugy";0,448;2
"8239";"laitier";"François de Rugy";0,448;2
"8240";"nègre";"François de Rugy";0,448;2
"8241";"parité";"François de Rugy";0,448;2
"8242";"procurer";"François de Rugy";0,448;2
"8243";"repère";"François de Rugy";0,448;2
"8244";"robin";"François de Rugy";0,448;2
"8245";"sas";"François de Rugy";0,448;2
"8246";"serein";"François de Rugy";0,448;2
"8247";"spectaculaire";"François de Rugy";0,448;2
"8248";"succession";"François de Rugy";0,448;2
"8249";"trottoir";"François de Rugy";0,448;2
"8250";"turbine";"François de Rugy";0,448;2
"8251";"validé";"François de Rugy";0,448;2
"8252";"vitalité";"François de Rugy";0,448;2
"8253";"voyager";"François de Rugy";0,448;2
"8254";"perspective";"Barbara Pompili";0,4476;62
"8255";"compétitivité";"François de Rugy";0,4476;42
"8256";"converger";"Barbara Pompili";0,447;11
"8257";"désignation";"Barbara Pompili";0,447;11
"8258";"handicap";"Barbara Pompili";0,447;11
"8259";"rechercher";"Barbara Pompili";0,447;11
"8260";"rep";"Barbara Pompili";0,447;11
"8261";"autonomie";"Nicolas Hulot";0,4465;5
"8262";"consortium";"Nicolas Hulot";0,4465;5
"8263";"modérer";"Nicolas Hulot";0,4465;5
"8264";"naissance";"Nicolas Hulot";0,4465;5
"8265";"réinventer";"Nicolas Hulot";0,4465;5
"8266";"roulant";"Nicolas Hulot";0,4465;5
"8267";"espace";"Élisabeth Borne";0,4462;60
"8268";"exemplaire";"Barbara Pompili";0,4459;37
"8269";"amorce";"Élisabeth Borne";0,4459;2
"8270";"bocage";"Élisabeth Borne";0,4459;2
"8271";"céréale";"Élisabeth Borne";0,4459;2
"8272";"chanson";"Élisabeth Borne";0,4459;2
"8273";"cinéma";"Élisabeth Borne";0,4459;2
"8274";"conjugaison";"Élisabeth Borne";0,4459;2
"8275";"contaminer";"Élisabeth Borne";0,4459;2
"8276";"contenter";"Élisabeth Borne";0,4459;2
"8277";"couloir";"Élisabeth Borne";0,4459;2
"8278";"déconcentration";"Élisabeth Borne";0,4459;2
"8279";"déneigement";"Élisabeth Borne";0,4459;2
"8280";"design";"Élisabeth Borne";0,4459;2
"8281";"différencier";"Élisabeth Borne";0,4459;2
"8282";"documentaire";"Élisabeth Borne";0,4459;2
"8283";"endommager";"Élisabeth Borne";0,4459;2
"8284";"évident";"Élisabeth Borne";0,4459;2
"8285";"excéder";"Élisabeth Borne";0,4459;2
"8286";"excellence";"Élisabeth Borne";0,4459;2
"8287";"exonération";"Élisabeth Borne";0,4459;2
"8288";"fils";"Élisabeth Borne";0,4459;2
"8289";"frauduleux";"Élisabeth Borne";0,4459;2
"8290";"garage";"Élisabeth Borne";0,4459;2
"8291";"gérant";"Élisabeth Borne";0,4459;2
"8292";"go";"Élisabeth Borne";0,4459;2
"8293";"grille";"Élisabeth Borne";0,4459;2
"8294";"îlot";"Élisabeth Borne";0,4459;2
"8295";"indemniser";"Élisabeth Borne";0,4459;2
"8296";"interpeller";"Élisabeth Borne";0,4459;2
"8297";"inutile";"Élisabeth Borne";0,4459;2
"8298";"irrigation";"Élisabeth Borne";0,4459;2
"8299";"lessive";"Élisabeth Borne";0,4459;2
"8300";"longueur";"Élisabeth Borne";0,4459;2
"8301";"marqueur";"Élisabeth Borne";0,4459;2
"8302";"mécène";"Élisabeth Borne";0,4459;2
"8303";"mourir";"Élisabeth Borne";0,4459;2
"8304";"nègre";"Élisabeth Borne";0,4459;2
"8305";"normand";"Élisabeth Borne";0,4459;2
"8306";"pénétrer";"Élisabeth Borne";0,4459;2
"8307";"philippin";"Élisabeth Borne";0,4459;2
"8308";"pluridisciplinaire";"Élisabeth Borne";0,4459;2
"8309";"pointer";"Élisabeth Borne";0,4459;2
"8310";"refroidissement";"Élisabeth Borne";0,4459;2
"8311";"relief";"Élisabeth Borne";0,4459;2
"8312";"réservation";"Élisabeth Borne";0,4459;2
"8313";"statuer";"Élisabeth Borne";0,4459;2
"8314";"technicien";"Élisabeth Borne";0,4459;2
"8315";"trottoir";"Élisabeth Borne";0,4459;2
"8316";"ventilation";"Élisabeth Borne";0,4459;2
"8317";"début";"Élisabeth Borne";0,4458;110
"8318";"conséquence";"François de Rugy";0,4458;51
"8319";"retrouver";"Élisabeth Borne";0,4446;78
"8320";"production";"Élisabeth Borne";0,4445;140
"8321";"eau";"François de Rugy";0,4444;65
"8322";"innovant";"Nicolas Hulot";0,4441;22
"8323";"expérimenter";"Barbara Pompili";0,444;16
"8324";"exploiter";"Barbara Pompili";0,444;16
"8325";"intituler";"Barbara Pompili";0,444;16
"8326";"cellule";"François de Rugy";0,4433;8
"8327";"minimal";"François de Rugy";0,4433;8
"8328";"échéance";"Élisabeth Borne";0,4428;13
"8329";"vote";"Élisabeth Borne";0,4422;16
"8330";"client";"Élisabeth Borne";0,4411;26
"8331";"terrain";"Élisabeth Borne";0,4407;45
"8332";"reprendre";"Nicolas Hulot";0,4402;14
"8333";"nation";"Nicolas Hulot";0,44;40
"8334";"parcours";"Nicolas Hulot";0,4399;24
"8335";"fier";"François de Rugy";0,4388;11
"8336";"quart";"Élisabeth Borne";0,4387;8
"8337";"fabrication";"François de Rugy";0,4386;14
"8338";"distributeur";"Nicolas Hulot";0,4372;8
